ID,time,day of week,day of year,latitude,longitude
28910,62340,0,279,41.75033427,-87.665045312
28909,62100,0,279,41.88096768,-87.737940272
28908,33420,0,279,41.88220788,-87.767203679
28907,12960,0,279,41.821964415,-87.690297894
28906,74100,5,277,41.866235446,-87.720517147
28905,52680,5,277,41.878507287,-87.7255958
28903,73920,4,276,41.739665062,-87.646542433
28904,72360,4,276,41.739665062,-87.646542433
28902,58380,4,276,41.795702678,-87.631854853
28901,55860,4,276,41.851961298,-87.691153739
28900,10800,4,276,41.773921405,-87.63683974
28899,29160,3,275,41.712930476,-87.538899017
28898,42180,1,273,41.873765737,-87.699296047
28897,63960,0,272,41.753583795,-87.563366582
28896,52920,0,272,41.744798659,-87.629147941
28895,31500,0,272,41.742388845,-87.5486236
28893,3720,6,271,41.865153255,-87.697127009
28894,60,6,271,41.762190175,-87.672249359
28891,3420,5,270,41.752446537,-87.603993456
28892,1620,5,270,41.963529694,-87.660288652
28890,82020,3,268,41.87886043,-87.726470068
28889,70860,3,268,41.652918149,-87.614016387
28888,46500,3,268,41.845577671,-87.627475027
28886,62280,1,266,41.867472266,-87.697148073
28884,57060,0,265,41.887735279,-87.763970791
28883,57240,6,264,41.678442688,-87.640725479
28882,11640,6,264,41.885882957,-87.647483237
28881,5940,6,264,41.702049219,-87.53770369
28880,27180,5,263,41.879582441,-87.711642782
28885,3300,5,263,41.739661151,-87.646806288
28879,40020,3,261,41.767828409,-87.666326388
28877,61740,0,258,41.770228593,-87.614723514
28876,18480,0,258,41.701958639,-87.537701144
28875,83340,6,257,41.974307765,-87.656357944
28874,71760,5,256,41.688055018,-87.648329098
28873,13020,5,256,41.911869121,-87.712277446
28872,51000,4,255,41.879465,-87.748313102
28871,39960,4,255,41.72936983,-87.60358779
28870,3600,3,254,41.69007636,-87.639886756
28868,73260,1,252,41.759941172,-87.593257453
28867,59280,1,252,41.751306941,-87.603449317
28866,47820,1,252,41.751770885,-87.563117056
28865,79920,0,251,41.720975481,-87.643203009
28864,34920,0,251,41.852419423,-87.627080475
28863,84300,6,250,41.882407184,-87.686468002
28862,71220,6,250,41.885720867,-87.74703679
28861,20520,6,250,41.828363555,-87.680961958
28860,40200,5,249,41.725745603,-87.632403887
28859,38100,5,249,41.870997075,-87.701838436
28858,79020,4,248,41.865315536,-87.624104363
28857,33360,4,248,41.742952387,-87.709514452
28856,55800,2,246,41.879660425,-87.73405634
28854,46140,0,244,41.842903964,-87.733030551
28853,74280,6,243,41.847312612,-87.713650953
28852,71220,6,243,41.654581609,-87.596744537
28851,10920,6,243,41.778768071,-87.655694415
28850,8940,6,243,41.858599563,-87.674183011
28849,74160,5,242,41.657271718,-87.599849988
28848,42180,5,242,41.890869719,-87.707636599
28855,14400,5,242,41.885969562,-87.612777909
28847,2160,5,242,41.754624469,-87.563863568
28846,80340,3,240,41.808934381,-87.641610504
28844,45360,2,239,41.8757421,-87.756113013
28843,9600,2,239,41.88296507,-87.773314984
28842,12060,1,238,41.752399933,-87.648136482
28845,63540,0,237,41.837887238,-87.71949228
28841,1680,0,237,41.894045374,-87.746736617
28840,80340,6,236,41.74903863,-87.601485132
28839,28320,6,236,41.895397041,-87.722805855
28838,70920,4,234,41.803365154,-87.721721771
28834,84600,3,233,41.876194627,-87.724182009
28835,83640,3,233,41.876637074,-87.690073243
28833,81780,3,233,41.876637074,-87.690073243
28831,71700,0,230,41.754786521,-87.562655871
28830,26940,0,230,41.757614433,-87.586115266
28829,44040,6,229,41.878556976,-87.748376464
28828,21480,6,229,41.986977077,-87.700498558
28827,74880,5,228,41.844452188,-87.648267213
28832,45000,5,228,41.885700244,-87.641726854
28826,67920,2,225,41.880419143,-87.751385304
28825,10020,2,225,42.011471031,-87.671186668
28824,51000,1,224,41.880778039,-87.750184931
28823,26040,0,223,41.807608323,-87.674661964
28822,19680,6,222,41.774096706,-87.60579021
28821,17340,6,222,41.884377162,-87.751004187
28820,12420,6,222,41.88400091,-87.746633871
28819,69600,4,220,41.750933717,-87.626270055
28818,16320,4,220,41.761678034,-87.558255664
28817,80400,2,218,41.830538047,-87.614471334
28816,9000,1,217,41.762834854,-87.645562329
28814,64740,0,216,41.792354314,-87.65417618
28815,54060,0,216,41.902141327,-87.662605111
28813,54660,6,215,41.728336543,-87.58501858
28812,3840,6,215,41.900039997,-87.72378279
28811,80220,5,214,41.825399862,-87.700606331
28810,19260,3,212,41.731118601,-87.608458885
28809,35160,1,210,41.882407184,-87.686468002
28808,24420,0,209,41.870198907,-87.738936067
28806,6780,6,208,41.77999793,-87.629294594
28805,19260,5,207,41.681485524,-87.670875933
28803,17280,3,205,41.707942233,-87.575191226
28802,840,3,205,41.761358206,-87.718631454
28801,1380,6,201,41.73625535,-87.62820806
28800,83880,5,200,41.771683937,-87.571002493
28799,20340,5,200,41.745795362,-87.550355696
28798,3480,5,200,41.757900544,-87.610243024
28795,82200,4,199,41.76677448,-87.566478603
28797,81360,4,199,41.870142501,-87.697161983
28796,79620,4,199,41.773187628,-87.665314044
28794,40320,4,199,41.755857224,-87.612615222
28793,82620,2,197,41.877363592,-87.701812481
28887,61680,1,196,41.866553506,-87.691822758
28792,58680,1,196,41.774349728,-87.604577555
28789,4200,6,194,41.898000404,-87.641807192
28788,79140,5,193,41.902120397,-87.767259237
28783,79200,4,192,41.655131692,-87.605118011
28782,59040,4,192,41.781633612,-87.612055328
28791,30540,4,192,41.657533656,-87.613500284
28781,8940,3,191,41.826049251,-87.632815166
28780,77940,2,190,41.879290831,-87.692539948
28779,49200,1,189,41.892423829,-87.717442499
28778,10680,1,189,41.943091976,-87.71261043
28777,17940,0,188,41.720665843,-87.567884204
28776,76380,6,187,41.843457409,-87.714759793
28775,82800,5,186,41.885741029,-87.631711749
28774,36960,5,186,41.897629845,-87.641792824
28772,20220,5,186,41.755405649,-87.660327195
28773,19440,5,186,41.899288384,-87.750806288
28771,2040,5,186,41.776899099,-87.672637253
28770,85800,4,185,41.744097464,-87.594403145
28769,36120,4,185,41.92092338,-87.718590518
28768,10320,4,185,41.779803069,-87.709040106
28767,50100,3,184,41.714425439,-87.563390947
28763,3240,3,184,41.896564682,-87.636280076
28766,2700,3,184,41.765025476,-87.576275351
28765,85260,2,183,41.896564682,-87.636280076
28764,85020,2,183,41.896564682,-87.636280076
28762,42780,2,183,41.896564682,-87.636280076
28760,9360,2,183,41.673306908,-87.626121003
28758,86280,1,182,41.750933717,-87.626270055
28757,65400,6,180,41.892164276,-87.607702294
28759,60360,5,179,41.726219145,-87.567294437
28755,58680,5,179,41.780439401,-87.603727666
28754,10920,5,179,41.916119144,-87.683375737
28753,79140,4,178,41.795652442,-87.619247355
28752,56520,4,178,41.721251017,-87.659573806
28787,36600,4,178,41.909492725,-87.75649238
28751,70740,3,177,41.862842099,-87.702010464
28784,12540,3,177,41.909492725,-87.75649238
28786,10500,3,177,41.909492725,-87.75649238
28785,10200,3,177,41.909492725,-87.75649238
28747,73020,2,176,41.865393661,-87.722709581
28756,71940,2,176,41.978108446,-87.904122758
28746,53640,2,176,41.754569374,-87.59434901
28745,27600,0,174,41.781443194,-87.62200821
28869,82800,6,173,41.76015578,-87.556752911
28744,21840,6,173,41.863692322,-87.733665815
28743,10860,5,172,41.866631644,-87.684725312
28742,10200,5,172,41.866631644,-87.684725312
28740,77700,3,170,41.779798546,-87.641648739
28741,30180,3,170,41.972125178,-87.703940523
28739,8280,3,170,41.72714495,-87.598539214
28738,56220,1,168,41.726363889,-87.555749621
28737,40440,0,167,41.872678492,-87.714290873
28736,23160,0,167,41.684876825,-87.616783333
28735,18780,6,166,41.756035228,-87.618264667
28734,3660,6,166,41.751291477,-87.604904392
28733,900,5,165,41.883588723,-87.755183076
28732,420,5,165,41.883588723,-87.755183076
28730,44700,2,162,41.907354802,-87.688372647
28731,4200,2,162,41.751335377,-87.665892478
28761,63960,0,160,41.767732647,-87.568186389
28728,76380,6,159,41.794647866,-87.67432161
28727,5100,6,159,41.923955281,-87.767613787
28726,66840,5,158,41.751611479,-87.575461834
28722,84540,2,155,41.814724628,-87.693176609
28721,5700,1,154,41.7529768,-87.57235266
28719,82560,0,153,41.653906827,-87.604978122
28723,33240,0,153,41.88468277,-87.66689711
28729,6600,0,153,41.687858377,-87.647108365
28718,12360,6,152,41.677262535,-87.637077599
28717,85740,4,150,41.773277862,-87.591890719
28716,38940,4,150,41.880476036,-87.723219647
28714,7380,1,147,41.692926531,-87.661868615
28713,84300,0,146,41.85839989,-87.722445742
28712,81000,5,144,41.895837291,-87.702210849
28711,12120,5,144,41.912658911,-87.710149915
28710,61320,4,143,41.764804389,-87.673967305
28709,25260,4,143,41.899059982,-87.721657992
28706,49260,1,140,41.692586937,-87.622735417
28705,61620,0,139,41.692586937,-87.622735417
28704,30240,0,139,41.876810835,-87.687295541
28702,600,0,139,41.963334459,-87.734004574
28701,67020,5,137,41.695092184,-87.635219335
28699,68640,3,135,41.715427321,-87.52935993
28700,54360,3,135,41.856042416,-87.718815813
28698,6300,3,135,41.752006389,-87.612522704
28697,68580,2,134,41.751901051,-87.553528478
28696,5340,2,134,41.759327126,-87.586154041
28695,1500,2,134,41.863473532,-87.651647229
28694,73140,0,132,41.880992663,-87.704527184
28693,71820,0,132,41.900853597,-87.725582308
28692,83040,6,131,41.757238614,-87.637258382
28691,55560,5,130,41.751317167,-87.563800456
28690,32640,5,130,41.767247821,-87.630170809
28689,14940,5,130,41.852670072,-87.6942409
28688,10980,5,130,41.997106025,-87.660472077
28687,7260,5,130,41.997106025,-87.660472077
28686,53340,4,129,41.869860575,-87.721025907
28685,75000,3,128,41.876584216,-87.760423586
28683,70860,0,125,41.798713359,-87.691498596
28684,24480,0,125,41.758739878,-87.589118634
28682,65100,6,124,41.861081014,-87.663856695
28681,41160,5,123,41.831171565,-87.615722811
28680,5820,5,123,41.902616246,-87.769315628
28679,5520,5,123,41.877613754,-87.751234503
28703,75960,4,122,41.887129616,-87.754255061
28678,29640,2,120,41.690115747,-87.63506079
28677,44760,1,119,41.889492699,-87.755401618
28676,37200,1,119,41.701620892,-87.629362898
28720,17520,1,119,41.863967823,-87.717789094
28675,480,6,117,41.845900828,-87.655147938
28673,68580,3,114,41.886843497,-87.765098817
28674,17400,2,113,41.903357751,-87.763868751
28878,30360,1,112,41.978108446,-87.904122758
28672,61560,0,111,41.888657457,-87.7492392
28670,11700,6,110,41.763724903,-87.571327637
28671,11280,6,110,41.763724903,-87.571327637
28669,6420,6,110,41.762779972,-87.645562915
28668,64560,4,108,41.909371462,-87.766306125
